Año,Trimestre,Provincia,Accesos por cada 100 hogares
2022,2,Mendoza,49.39
2022,2,Misiones,51.0
2022,2,Neuquén,80.02
2022,2,Río Negro,67.85
2022,2,Salta,57.54
2022,2,San Juan,49.46
2022,2,San Luis,81.76
2022,2,Santa Cruz,43.15
2022,2,Santa Fe,77.9
2022,2,Santiago Del Estero,47.7
2022,2,Tierra Del Fuego,99.86
2022,2,Tucumán,59.31
2022,1,Buenos Aires,76.07814661157262
2022,1,Capital Federal,111.7978626917465
2022,1,Catamarca,58.20635083561171
2022,1,Chaco,44.05948009941883
2022,1,Chubut,88.05274093835774
2022,1,Córdoba,85.75745356313551
2022,1,Corrientes,47.64463514150233
2022,1,Entre Ríos,63.70090347123158
2022,1,Formosa,34.95568699575134
2022,1,Jujuy,58.06462866426784
2022,1,La Pampa,91.66332531408715
2022,1,La Rioja,78.77459866564503
2022,1,Mendoza,48.73524093558345
2022,1,Misiones,49.04334199772953
2022,1,Neuquén,74.17305509992715
2022,1,Río Negro,67.03640754987029
2022,1,Salta,56.10759340849759
2022,1,San Juan,43.54598160933163
2022,1,San Luis,80.72423060601774
2022,1,Santa Cruz,43.33842311053054
2022,1,Santa Fe,77.30458474758402
2022,1,Santiago Del Estero,47.17273839324049
2022,1,Tierra Del Fuego,98.29055038672794
2022,1,Tucumán,57.39003227231194
2021,4,Buenos Aires,75.66410602338475
2021,4,Capital Federal,111.2700261289174
2021,4,Catamarca,55.2526999859741
2021,4,Chaco,44.04856389025934
2021,4,Chubut,82.57340063871433
2021,4,Córdoba,84.50941853046088
2021,4,Corrientes,45.51016102946347
2021,4,Entre Ríos,63.15536143616578
2021,4,Formosa,34.4545746388443
2021,4,Jujuy,56.92107051487049
2021,4,La Pampa,89.56734270241313
2021,4,La Rioja,77.9234900964576
2021,4,Mendoza,47.50531709031775
2021,4,Misiones,49.06462073058497
2021,4,Neuquén,73.30016254020012
2021,4,Río Negro,65.69489961160652
2021,4,Salta,56.81442605762217
2021,4,San Juan,39.58885186487169
2021,4,San Luis,80.29578283135379
2021,4,Santa Cruz,43.05121466117346
2021,4,Santa Fe,77.08920179439227
2021,4,Santiago Del Estero,47.0459491943867
2021,4,Tierra Del Fuego,98.40061644865433
2021,4,Tucumán,55.92599102424391
2021,3,Buenos Aires,71.68218940101933
2021,3,Capital Federal,111.2710551425089
2021,3,Catamarca,52.70979348600127
2021,3,Chaco,42.96241007967663
2021,3,Chubut,80.70973847657562
2021,3,Córdoba,81.2845665540848
2021,3,Corrientes,44.90088312664412
2021,3,Entre Ríos,62.17940145385769
2021,3,Formosa,33.96203354068432
2021,3,Jujuy,55.6892647441935
2021,3,La Pampa,84.27996309653611
2021,3,La Rioja,77.26016061386845
2021,3,Mendoza,45.54828468056102
2021,3,Misiones,45.57065365808786
2021,3,Neuquén,69.70653344501615
2021,3,Río Negro,61.9672131147541
2021,3,Salta,55.9642780595842
2021,3,San Juan,39.4554480019856
2021,3,San Luis,79.87043349212911
2021,3,Santa Cruz,43.74732028012005
2021,3,Santa Fe,75.01704762728227
2021,3,Santiago Del Estero,47.0
