Año,Trimestre,Provincia,Mbps (Media de bajada),Rango Velocidad
2018,4,Río Negro,10.48700556527549,10-50 Mbps
2018,4,Salta,10.45728408913591,10-50 Mbps
2018,4,San Juan,5.715266539357845,0-10 Mbps
2018,4,San Luis,8.818992791900516,0-10 Mbps
2018,4,Santa Cruz,5.119507364772867,0-10 Mbps
2018,4,Santa Fe,13.17923489996948,10-50 Mbps
2018,4,Santiago Del Estero,6.309255243851745,0-10 Mbps
2018,4,Tierra Del Fuego,7.436562008214025,0-10 Mbps
2018,4,Tucumán,16.58323444553027,10-50 Mbps
2018,3,Buenos Aires,16.77973513236217,10-50 Mbps
2018,3,Capital Federal,21.64336836406141,10-50 Mbps
2018,3,Catamarca,7.806521941530631,0-10 Mbps
2018,3,Chaco,12.89496189060927,10-50 Mbps
2018,3,Chubut,6.076722322942862,0-10 Mbps
2018,3,Córdoba,14.8182495375679,10-50 Mbps
2018,3,Corrientes,11.49322836545712,10-50 Mbps
2018,3,Entre Ríos,10.5247535062873,10-50 Mbps
2018,3,Formosa,9.318495441068285,0-10 Mbps
2018,3,Jujuy,7.669872151814152,0-10 Mbps
2018,3,La Pampa,4.283048376167659,0-10 Mbps
2018,3,La Rioja,6.156013225626096,0-10 Mbps
2018,3,Mendoza,5.786015677158131,0-10 Mbps
2018,3,Misiones,12.48748575872109,10-50 Mbps
2018,3,Neuquén,14.67424428662478,10-50 Mbps
2018,3,Río Negro,10.06446008106754,10-50 Mbps
2018,3,Salta,9.265848177562406,0-10 Mbps
2018,3,San Juan,5.738204725877363,0-10 Mbps
2018,3,San Luis,8.814987579354126,0-10 Mbps
2018,3,Santa Cruz,5.369715716600383,0-10 Mbps
2018,3,Santa Fe,12.35732604348857,10-50 Mbps
2018,3,Santiago Del Estero,5.779842512369051,0-10 Mbps
2018,3,Tierra Del Fuego,5.98788374717833,0-10 Mbps
2018,3,Tucumán,15.25595036248831,10-50 Mbps
2018,2,Buenos Aires,14.6793755121758,10-50 Mbps
2018,2,Capital Federal,18.93813458927817,10-50 Mbps
2018,2,Catamarca,7.693096507452943,0-10 Mbps
2018,2,Chaco,12.49946018199578,10-50 Mbps
2018,2,Chubut,5.329857730598913,0-10 Mbps
2018,2,Córdoba,13.87680940634951,10-50 Mbps
2018,2,Corrientes,10.87765289559918,10-50 Mbps
2018,2,Entre Ríos,10.18670275175996,10-50 Mbps
2018,2,Formosa,8.974986530777175,0-10 Mbps
2018,2,Jujuy,6.289345589213642,0-10 Mbps
2018,2,La Pampa,4.098364171057469,0-10 Mbps
2018,2,La Rioja,5.591861584368082,0-10 Mbps
2018,2,Mendoza,5.880529663045039,0-10 Mbps
2018,2,Misiones,11.759657402552,10-50 Mbps
2018,2,Neuquén,13.36501156010796,10-50 Mbps
2018,2,Río Negro,9.509595114373948,0-10 Mbps
2018,2,Salta,8.928271706442677,0-10 Mbps
2018,2,San Juan,5.845597830692315,0-10 Mbps
2018,2,San Luis,5.900575184880855,0-10 Mbps
2018,2,Santa Cruz,5.189289950855787,0-10 Mbps
2018,2,Santa Fe,11.74888462281756,10-50 Mbps
2018,2,Santiago Del Estero,5.911001646998383,0-10 Mbps
2018,2,Tierra Del Fuego,5.942745057375916,0-10 Mbps
2018,2,Tucumán,13.5065457296271,10-50 Mbps
2018,1,Buenos Aires,14.19888964468095,10-50 Mbps
2018,1,Capital Federal,17.74557730418008,10-50 Mbps
2018,1,Catamarca,8.198860528714677,0-10 Mbps
2018,1,Chaco,12.44406467864497,10-50 Mbps
2018,1,Chubut,5.418637938827784,0-10 Mbps
2018,1,Córdoba,12.79057121740049,10-50 Mbps
2018,1,Corrientes,11.11850286525364,10-50 Mbps
2018,1,Entre Ríos,9.875239366998759,0-10 Mbps
2018,1,Formosa,11.05681536746951,10-50 Mbps
2018,1,Jujuy,6.741185879384532,0-10 Mbps
2018,1,La Pampa,3.995131352064104,0-10 Mbps
2018,1,La Rioja,5.890820604111634,0-10 Mbps
2018,1,Mendoza,5.881626969169374,0-10 Mbps
2018,1,Misiones,12.08218946514301,10-50 Mbps
2018,1,Neuquén,11.96045995607415,10-50 Mbps
2018,1,Río Negro,8.976243194361576,0-10 Mbps
2018,1,Salta,9.1894409821995,0-10 Mbps
2018,1,San Juan,5.850581035549749,0-10 Mbps
2018,1,San Luis,5.89436270457927,0-10 Mbps
2018,1,Santa Cruz,5.189289950855787,0-10 Mbps
2018,1,Santa Fe,11.173305005746,10-50 Mbps
2018,1,Santiago Del Estero,6.248210722163038,0-10 Mbps
2018,1,Tierra Del Fuego,5.768082036032884,0-10 Mbps
2018,1,Tucumán,9.355631684806106,0-10 Mbps
2017,4,Buenos Aires,12.9720825438982,10-50 Mbps
2017,4,Capital Federal,15.20221886916041,10-50 Mbps
2017,4,Catamarca,7.78415435139573,0-10 Mbps
2017,4,Chaco,11.7028681219594,10-50 Mbps
2017,4,Chubut,5.408238076890145,0-10 Mbps
2017,4,Córdoba,11.63658470115664,10-50 Mbps
2017,4,Corrientes,10.38440043089197,10-50 Mbps
2017,4,Entre Ríos,9.295960619999066,0-10 Mbps
2017,4,Formosa,10.11417046376631,10-50 Mbps
2017,4,Jujuy,6.638821273566491,0-10 Mbps
2017,4,La Pampa,3.975819444981504,0-10 Mbps
2017,4,La Rioja,5.877588849506658,0-10 Mbps
2017,4,Mendoza,5.71002586675844,0-10 Mbps
2017,4,Misiones,11.32412372324961,10-50 Mbps
2017,4,Neuquén,10.71915152454027,10-50 Mbps
2017,4,Río Negro,8.045522324672751,0-10 Mbps
2017,4,Salta,8.451742767775633,0-10 Mbps
2017,4,San Juan,5.832260073010133,0-10 Mbps
2017,4,San Luis,5.732208801354054,0-10 Mbps
2017,4,Santa Cruz,5.206584828874508,0-10 Mbps
2017,4,Santa Fe,10.29749460184718,10-50 Mbps
2017,4,Santiago Del Estero,6.165600214985038,0-10 Mbps
2017,4,Tierra Del Fuego,5.203225704536838,0-10 Mbps
2017,4,Tucumán,9.106021307187058,0-10 Mbps
2017,3,Buenos Aires,8.425706211853651,0-10 Mbps
2017,3,Capital Federal,10.63572027407331,10-50 Mbps
2017,3,Catamarca,5.260018066713561,0-10 Mbps
2017,3,Chaco,8.484871287555498,0-10 Mbps
2017,3,Chubut,3.478346915669087,0-10 Mbps
2017,3,Córdoba,9.115572873049981,0-10 Mbps
2017,3,Corrientes,7.447416428085263,0-10 Mbps
2017,3,Entre Ríos,6.993400639349653,0-10 Mbps
2017,3,Formosa,7.06882153411281,0-10 Mbps
2017,3,Jujuy,4.689006725369201,0-10 Mbps
2017,3,La Pampa,3.438101114332066,0-10 Mbps
2017,3,La Rioja,5.010090208766659,0-10 Mbps
2017,3,Mendoza,3.512962661663036,0-10 Mbps
2017,3,Misiones,8.430383025286991,0-10 Mbps
2017,3,Neuquén,8.16517738570226,0-10 Mbps
2017,3,Río Negro,5.487278804673885,0-10 Mbps
2017,3,Salta,6.133146206896552,0-10 Mbps
2017,3,San Juan,3.449784206491183,0-10 Mbps
2017,3,San Luis,3.50338739319684,0-10 Mbps
2017,3,Santa Cruz,3.610470505758638,0-10 Mbps
2017,3,Santa Fe,7.792215148399743,0-10 Mbps
2017,3,Santiago Del Estero,5.178558078335373,0-10 Mbps
2017,3,Tierra Del Fuego,3.475358271865121,0-10 Mbps
2017,3,Tucumán,6.385176801555398,0-10 Mbps
2017,2,Buenos Aires,7.198747751887984,0-10 Mbps
2017,2,Capital Federal,8.843219830788254,0-10 Mbps
2017,2,Catamarca,5.102182825899711,0-10 Mbps
2017,2,Chaco,7.689213433544128,0-10 Mbps
2017,2,Chubut,3.44726909222351,0-10 Mbps
2017,2,Córdoba,7.421321799076774,0-10 Mbps
2017,2,Corrientes,6.791580482607054,0-10 Mbps
2017,2,Entre Ríos,6.287810106292773,0-10 Mbps
2017,2,Formosa,6.178653314640496,0-10 Mbps
2017,2,Jujuy,4.541861878194008,0-10 Mbps
2017,2,La Pampa,3.318259361496105,0-10 Mbps
2017,2,La Rioja,5.53385510805501,0-10 Mbps
2017,2,Mendoza,3.507255863215121,0-10 Mbps
2017,2,Misiones,7.604338490520663,0-10 Mbps
2017,2,Neuquén,6.700610698446883,0-10 Mbps
2017,2,Río Negro,4.741350857381452,0-10 Mbps
2017,2,Salta,5.756213134839845,0-10 Mbps
2017,2,San Juan,3.492033809523809,0-10 Mbps
2017,2,San Luis,3.502824149975052,0-10 Mbps
2017,2,Santa Cruz,3.60311348968991,0-10 Mbps
2017,2,Santa Fe,6.838749250446204,0-10 Mbps
2017,2,Santiago Del Estero,5.05794740805446,0-10 Mbps
2017,2,Tierra Del Fuego,3.476761467376085,0-10 Mbps
2017,2,Tucumán,6.093280445624717,0-10 Mbps
2017,1,Buenos Aires,6.678482577091709,0-10 Mbps
2017,1,Capital Federal,8.348147316695423,0-10 Mbps
2017,1,Catamarca,4.973784837545127,0-10 Mbps
2017,1,Chaco,7.307905398272823,0-10 Mbps
2017,1,Chubut,3.443386200873362,0-10 Mbps
2017,1,Córdoba,6.799477637369997,0-10 Mbps
2017,1,Corrientes,6.43297127701597,0-10 Mbps
2017,1,Entre Ríos,5.951474575707524,0-10 Mbps
2017,1,Formosa,5.742388931901572,0-10 Mbps
2017,1,Jujuy,4.393861259634748,0-10 Mbps
2017,1,La Pampa,3.220813584218335,0-10 Mbps
2017,1,La Rioja,5.427180473372781,0-10 Mbps
2017,1,Mendoza,3.507294205144096,0-10 Mbps
2017,1,Misiones,7.341041988916319,0-10 Mbps
2017,1,Neuquén,6.034836144421392,0-10 Mbps
2017,1,Río Negro,4.449448877971685,0-10 Mbps
2017,1,Salta,5.335371217821875,0-10 Mbps
2017,1,San Juan,3.492435161246428,0-10 Mbps
2017,1,San Luis,3.502824149975052,0-10 Mbps
2017,1,Santa Cruz,3.591930075636318,0-10 Mbps
2017,1,Santa Fe,6.284036486892411,0-10 Mbps
2017,1,Santiago Del Estero,4.948965833284994,0-10 Mbps
2017,1,Tierra Del Fuego,3.476761467376085,0-10 Mbps
2017,1,Tucumán,5.875507325695581,0-10 Mbps
2016,4,Buenos Aires,6.351546450260313,0-10 Mbps
2016,4,Capital Federal,7.957596242752894,0-10 Mbps
2016,4,Catamarca,4.885711305119858,0-10 Mbps
2016,4,Chaco,7.077531005919823,0-10 Mbps
2016,4,Chubut,3.407191291444817,0-10 Mbps
2016,4,Córdoba,6.466740363905608,0-10 Mbps
2016,4,Corrientes,6.236245604077509,0-10 Mbps
2016,4,Entre Ríos,5.807350829127614,0-10 Mbps
2016,4,Formosa,5.630674164916322,0-10 Mbps
2016,4,Jujuy,4.323962745742035,0-10 Mbps
2016,4,La Pampa,3.189559729749796,0-10 Mbps
2016,4,La Rioja,5.343762427214219,0-10 Mbps
2016,4,Mendoza,3.506603469745376,0-10 Mbps
2016,4,Misiones,7.109475809101363,0-10 Mbps
2016,4,Neuquén,5.678446306542373,0-10 Mbps
2016,4,Río Negro,4.369930463165329,0-10 Mbps
2016,4,Salta,5.220883577846971,0-10 Mbps
2016,4,San Juan,3.491135554044867,0-10 Mbps
2016,4,San Luis,3.502824149975052,0-10 Mbps
2016,4,Santa Cruz,3.56391640895886,0-10 Mbps
2016,4,Santa Fe,6.040233328940666,0-10 Mbps
2016,4,Santiago Del Estero,4.866794431448622,0-10 Mbps
2016,4,Tierra Del Fuego,3.476761467376085,0-10 Mbps
2016,4,Tucumán,5.727766934202108,0-10 Mbps
2016,3,Buenos Aires,5.914918008163684,0-10 Mbps
2016,3,Capital Federal,7.380172699207805,0-10 Mbps
2016,3,Catamarca,4.725241179958494,0-10 Mbps
2016,3,Chaco,6.718220363245951,0-10 Mbps
2016,3,Chubut,3.343866327984636,0-10 Mbps
2016,3,Córdoba,6.068526923518407,0-10 Mbps
2016,3,Corrientes,5.958192561066714,0-10 Mbps
2016,3,Entre Ríos,5.586427488329489,0-10 Mbps
2016,3,Formosa,5.416131006999096,0-10 Mbps
2016,3,Jujuy,4.215291130909006,0-10 Mbps
2016,3,La Pampa,3.144998426188228,0-10 Mbps
2016,3,La Rioja,5.076731739002066,0-10 Mbps
2016,3,Mendoza,3.50729080145311,0-10 Mbps
2016,3,Misiones,6.741222269842242,0-10 Mbps
2016,3,Neuquén,5.292166864731292,0-10 Mbps
2016,3,Río Negro,4.162924282482748,0-10 Mbps
2016,3,Salta,5.052874436550483,0-10 Mbps
2016,3,San Juan,3.489067446287734,0-10 Mbps
2016,3,San Luis,3.503023774040167,0-10 Mbps
2016,3,Santa Cruz,3.53583356483625,0-10 Mbps
2016,3,Santa Fe,5.677263761564785,0-10 Mbps
2016,3,Santiago Del Estero,4.670123087013555,0-10 Mbps
2016,3,Tierra Del Fuego,3.47654537746248,0-10 Mbps
2016,3,Tucumán,5.544683260191403,0-10 Mbps
2016,2,Buenos Aires,5.415144367004824,0-10 Mbps
2016,2,Capital Federal,6.576218932459292,0-10 Mbps
2016,2,Catamarca,4.364835964516613,0-10 Mbps
2016,2,Chaco,6.297357510958081,0-10 Mbps
2016,2,Chubut,3.335973498985547,0-10 Mbps
2016,2,Córdoba,5.516912823002807,0-10 Mbps
2016,2,Corrientes,5.601822569524247,0-10 Mbps
2016,2,Entre Ríos,5.131142783301248,0-10 Mbps
2016,2,Formosa,5.104132195866278,0-10 Mbps
2016,2,Jujuy,3.843353043958065,0-10 Mbps
2016,2,La Pampa,3.146067806525381,0-10 Mbps
2016,2,La Rioja,4.773843067001075,0-10 Mbps
2016,2,Mendoza,3.500168567871608,0-10 Mbps
2016,2,Misiones,6.233660566754793,0-10 Mbps
2016,2,Neuquén,4.86640695565863,0-10 Mbps
2016,2,Río Negro,3.976616411905147,0-10 Mbps
2016,2,Salta,4.749378935322928,0-10 Mbps
2016,2,San Juan,3.488371829428433,0-10 Mbps
2016,2,San Luis,3.501983369175627,0-10 Mbps
2016,2,Santa Cruz,3.502115027600456,0-10 Mbps
2016,2,Santa Fe,5.138598530918506,0-10 Mbps
2016,2,Santiago Del Estero,4.309815179590645,0-10 Mbps
2016,2,Tierra Del Fuego,3.478692463211772,0-10 Mbps
2016,2,Tucumán,5.200979761760874,0-10 Mbps
2016,1,Buenos Aires,4.992168437483913,0-10 Mbps
2016,1,Capital Federal,6.047403702811701,0-10 Mbps
2016,1,Catamarca,4.203588449295134,0-10 Mbps
2016,1,Chaco,5.991472683208309,0-10 Mbps
2016,1,Chubut,3.379663933071416,0-10 Mbps
2016,1,Córdoba,5.156801617049669,0-10 Mbps
2016,1,Corrientes,5.37127911707625,0-10 Mbps
2016,1,Entre Ríos,5.084574905605243,0-10 Mbps
2016,1,Formosa,4.872333380420963,0-10 Mbps
2016,1,Jujuy,3.771221342598337,0-10 Mbps
2016,1,La Pampa,3.047642036279259,0-10 Mbps
2016,1,La Rioja,4.616973938050446,0-10 Mbps
2016,1,Mendoza,3.502868922978879,0-10 Mbps
2016,1,Misiones,6.000968717380309,0-10 Mbps
2016,1,Neuquén,4.420493149015266,0-10 Mbps
2016,1,Río Negro,3.826659196828916,0-10 Mbps
2016,1,Salta,4.741858784571524,0-10 Mbps
2016,1,San Juan,3.485523490760477,0-10 Mbps
2016,1,San Luis,3.502900439238653,0-10 Mbps
2016,1,Santa Cruz,3.48315808971074,0-10 Mbps
2016,1,Santa Fe,4.898136028952046,0-10 Mbps
2016,1,Santiago Del Estero,4.174011564306923,0-10 Mbps
2016,1,Tierra Del Fuego,3.475082632716791,0-10 Mbps
2016,1,Tucumán,5.004036640679885,0-10 Mbps
2015,4,Buenos Aires,4.884148905856541,0-10 Mbps
2015,4,Capital Federal,5.927803522979041,0-10 Mbps
2015,4,Catamarca,4.124268369158702,0-10 Mbps
2015,4,Chaco,5.828384180790961,0-10 Mbps
2015,4,Chubut,3.283865031613298,0-10 Mbps
2015,4,Córdoba,5.067081493268407,0-10 Mbps
2015,4,Corrientes,5.259482120492081,0-10 Mbps
2015,4,Entre Ríos,5.007855905299356,0-10 Mbps
2015,4,Formosa,4.660308568580684,0-10 Mbps
2015,4,Jujuy,3.724680475892299,0-10 Mbps
2015,4,La Pampa,2.936747707229629,0-10 Mbps
2015,4,La Rioja,4.521671863926294,0-10 Mbps
2015,4,Mendoza,3.501777930089102,0-10 Mbps
2015,4,Misiones,5.9022914436487,0-10 Mbps
2015,4,Neuquén,4.355592861552936,0-10 Mbps
2015,4,Río Negro,3.768932299598505,0-10 Mbps
2015,4,Salta,4.673467038141578,0-10 Mbps
2015,4,San Juan,3.481604116955732,0-10 Mbps
2015,4,San Luis,3.502937425860024,0-10 Mbps
2015,4,Santa Cruz,3.480967961910613,0-10 Mbps
2015,4,Santa Fe,4.809873774553555,0-10 Mbps
2015,4,Santiago Del Estero,4.094101691450764,0-10 Mbps
2015,4,Tierra Del Fuego,3.474824864241726,0-10 Mbps
2015,4,Tucumán,4.882297946330778,0-10 Mbps
2015,3,Buenos Aires,4.700597914270459,0-10 Mbps
2015,3,Capital Federal,5.66468043459464,0-10 Mbps
2015,3,Catamarca,3.884563872599747,0-10 Mbps
2015,3,Chaco,5.46643296553986,0-10 Mbps
2015,3,Chubut,3.27903841147495,0-10 Mbps
2015,3,Córdoba,4.867849001225086,0-10 Mbps
2015,3,Corrientes,5.063473816782213,0-10 Mbps
2015,3,Entre Ríos,4.766712366729086,0-10 Mbps
2015,3,Formosa,4.166164102194515,0-10 Mbps
2015,3,Jujuy,3.532724551201011,0-10 Mbps
2015,3,La Pampa,2.914932214142794,0-10 Mbps
2015,3,La Rioja,4.245850575398008,0-10 Mbps
2015,3,Mendoza,3.500160951021911,0-10 Mbps
2015,3,Misiones,5.634289050903693,0-10 Mbps
2015,3,Neuquén,4.229943984895741,0-10 Mbps
2015,3,Río Negro,3.736831456202491,0-10 Mbps
2015,3,Salta,4.421831412977562,0-10 Mbps
2015,3,San Juan,3.481092820373882,0-10 Mbps
2015,3,San Luis,3.502753871598256,0-10 Mbps
2015,3,Santa Cruz,3.480687744358587,0-10 Mbps
2015,3,Santa Fe,4.559895452402629,0-10 Mbps
2015,3,Santiago Del Estero,3.911237321691457,0-10 Mbps
2015,3,Tierra Del Fuego,3.477721056932716,0-10 Mbps
2015,3,Tucumán,4.572318667230303,0-10 Mbps
2015,2,Buenos Aires,4.463495663548014,0-10 Mbps
2015,2,Capital Federal,5.31214873823781,0-10 Mbps
2015,2,Catamarca,3.682508295038554,0-10 Mbps
2015,2,Chaco,5.194771414259476,0-10 Mbps
2015,2,Chubut,3.216571647485115,0-10 Mbps
2015,2,Córdoba,4.557937666200854,0-10 Mbps
2015,2,Corrientes,4.847197637993736,0-10 Mbps
2015,2,Entre Ríos,4.55056996750087,0-10 Mbps
2015,2,Formosa,3.764915684027649,0-10 Mbps
2015,2,Jujuy,3.408678843146091,0-10 Mbps
2015,2,La Pampa,2.862656640106242,0-10 Mbps
2015,2,La Rioja,4.001551396208129,0-10 Mbps
2015,2,Mendoza,3.499724108862493,0-10 Mbps
2015,2,Misiones,5.327562649676923,0-10 Mbps
2015,2,Neuquén,4.059617737533036,0-10 Mbps
2015,2,Río Negro,3.666734448621427,0-10 Mbps
2015,2,Salta,4.218121645686839,0-10 Mbps
2015,2,San Juan,3.478919289066708,0-10 Mbps
2015,2,San Luis,3.502770953101361,0-10 Mbps
2015,2,Santa Cruz,3.47332349743749,0-10 Mbps
2015,2,Santa Fe,4.303196181656382,0-10 Mbps
2015,2,Santiago Del Estero,3.728811295360471,0-10 Mbps
2015,2,Tierra Del Fuego,3.47751587628866,0-10 Mbps
2015,2,Tucumán,4.306812767469965,0-10 Mbps
2015,1,Buenos Aires,4.323803709346771,0-10 Mbps
2015,1,Capital Federal,4.999711683876372,0-10 Mbps
2015,1,Catamarca,3.483603660962992,0-10 Mbps
2015,1,Chaco,4.899908797030372,0-10 Mbps
2015,1,Chubut,3.213156577759796,0-10 Mbps
2015,1,Córdoba,4.304279282006848,0-10 Mbps
2015,1,Corrientes,4.628190221393157,0-10 Mbps
2015,1,Entre Ríos,4.346746505786633,0-10 Mbps
2015,1,Formosa,3.38115011235955,0-10 Mbps
2015,1,Jujuy,3.241902108598274,0-10 Mbps
2015,1,La Pampa,2.834099510217869,0-10 Mbps
2015,1,La Rioja,3.780402106036489,0-10 Mbps
2015,1,Mendoza,3.499130670898351,0-10 Mbps
2015,1,Misiones,4.973004251321198,0-10 Mbps
2015,1,Neuquén,3.911491638198584,0-10 Mbps
2015,1,Río Negro,3.585297088257377,0-10 Mbps
2015,1,Salta,4.022777936163619,0-10 Mbps
2015,1,San Juan,3.476989170093241,0-10 Mbps
2015,1,San Luis,3.500994270465426,0-10 Mbps
2015,1,Santa Cruz,3.474217030667377,0-10 Mbps
2015,1,Santa Fe,4.063283068408137,0-10 Mbps
2015,1,Santiago Del Estero,3.571104125126239,0-10 Mbps
2015,1,Tierra Del Fuego,3.453878085751408,0-10 Mbps
2015,1,Tucumán,4.071078040242438,0-10 Mbps
2014,4,Buenos Aires,4.198943508236657,0-10 Mbps
2014,4,Capital Federal,4.781787711275562,0-10 Mbps
2014,4,Catamarca,3.336005334797788,0-10 Mbps
2014,4,Chaco,3.977400363306085,0-10 Mbps
2014,4,Chubut,3.174649158131256,0-10 Mbps
2014,4,Córdoba,4.092903062184572,0-10 Mbps
2014,4,Corrientes,3.8061123116725,0-10 Mbps
2014,4,Entre Ríos,3.800051787110069,0-10 Mbps
2014,4,Formosa,3.023326617826618,0-10 Mbps
2014,4,Jujuy,3.127642108190794,0-10 Mbps
2014,4,La Pampa,2.754208730637699,0-10 Mbps
2014,4,La Rioja,3.582023899524448,0-10 Mbps
2014,4,Mendoza,3.498767768599914,0-10 Mbps
2014,4,Misiones,4.025619961413459,0-10 Mbps
2014,4,Neuquén,3.850772582597391,0-10 Mbps
2014,4,Río Negro,3.543129254254254,0-10 Mbps
2014,4,Salta,3.862259431502549,0-10 Mbps
2014,4,San Juan,3.475220169228113,0-10 Mbps
2014,4,San Luis,3.503621206358865,0-10 Mbps
2014,4,Santa Cruz,3.333026183713963,0-10 Mbps
2014,4,Santa Fe,3.780707860716513,0-10 Mbps
2014,4,Santiago Del Estero,3.458224472659729,0-10 Mbps
2014,4,Tierra Del Fuego,3.474724469892406,0-10 Mbps
2014,4,Tucumán,3.860612310244953,0-10 Mbps
2014,3,Buenos Aires,3.969046991173242,0-10 Mbps
2014,3,Capital Federal,4.437380943390075,0-10 Mbps
2014,3,Catamarca,2.915176175040519,0-10 Mbps
2014,3,Chaco,3.461947812450996,0-10 Mbps
2014,3,Chubut,3.165741790763976,0-10 Mbps
2014,3,Córdoba,3.66006224955991,0-10 Mbps
2014,3,Corrientes,3.410927776641118,0-10 Mbps
2014,3,Entre Ríos,3.399607941752683,0-10 Mbps
2014,3,Formosa,2.656283015230383,0-10 Mbps
2014,3,Jujuy,2.930705390251862,0-10 Mbps
2014,3,La Pampa,2.816519545748315,0-10 Mbps
2014,3,La Rioja,3.095178784641488,0-10 Mbps
2014,3,Mendoza,3.502853176849066,0-10 Mbps
2014,3,Misiones,3.577523857571493,0-10 Mbps
2014,3,Neuquén,3.742910487916097,0-10 Mbps
2014,3,Río Negro,3.47997917029004,0-10 Mbps
2014,3,Salta,3.410910362488031,0-10 Mbps
2014,3,San Juan,3.473725985590389,0-10 Mbps
2014,3,San Luis,3.503113190184049,0-10 Mbps
2014,3,Santa Cruz,3.307322260155741,0-10 Mbps
2014,3,Santa Fe,3.375592912249111,0-10 Mbps
2014,3,Santiago Del Estero,3.099546510388918,0-10 Mbps
2014,3,Tierra Del Fuego,3.470981711419659,0-10 Mbps
2014,3,Tucumán,3.349897526769352,0-10 Mbps
2014,2,Buenos Aires,3.851862760043666,0-10 Mbps
2014,2,Capital Federal,4.249991223638481,0-10 Mbps
2014,2,Catamarca,2.915358424826804,0-10 Mbps
2014,2,Chaco,3.4206301023632,0-10 Mbps
2014,2,Chubut,3.156405252857589,0-10 Mbps
2014,2,Córdoba,3.556785960683263,0-10 Mbps
2014,2,Corrientes,3.366970598980256,0-10 Mbps
2014,2,Entre Ríos,3.312400309974538,0-10 Mbps
2014,2,Formosa,2.652351250000001,0-10 Mbps
2014,2,Jujuy,2.76903167947822,0-10 Mbps
2014,2,La Pampa,2.684576055426866,0-10 Mbps
2014,2,La Rioja,3.095153343388638,0-10 Mbps
2014,2,Mendoza,3.503033182060705,0-10 Mbps
2014,2,Misiones,3.540023885712756,0-10 Mbps
2014,2,Neuquén,3.664704338045154,0-10 Mbps
2014,2,Río Negro,3.428625750444514,0-10 Mbps
2014,2,Salta,3.391137751108792,0-10 Mbps
2014,2,San Juan,3.47248406459358,0-10 Mbps
2014,2,San Luis,3.504104481041747,0-10 Mbps
2014,2,Santa Cruz,3.318151660163439,0-10 Mbps
2014,2,Santa Fe,3.311691041097923,0-10 Mbps
2014,2,Santiago Del Estero,3.069750921149594,0-10 Mbps
2014,2,Tierra Del Fuego,3.470095986812908,0-10 Mbps
2014,2,Tucumán,3.34994476711167,0-10 Mbps
2014,1,Buenos Aires,3.73313279998293,0-10 Mbps
2014,1,Capital Federal,4.024081510870217,0-10 Mbps
2014,1,Catamarca,2.802734400792341,0-10 Mbps
2014,1,Chaco,3.255837303744444,0-10 Mbps
2014,1,Chubut,3.175916675146458,0-10 Mbps
2014,1,Córdoba,3.387404581524813,0-10 Mbps
2014,1,Corrientes,3.218625082349161,0-10 Mbps
2014,1,Entre Ríos,3.167290089982719,0-10 Mbps
2014,1,Formosa,2.573729210919676,0-10 Mbps
2014,1,Jujuy,2.690263349406857,0-10 Mbps
2014,1,La Pampa,2.64721042446136,0-10 Mbps
2014,1,La Rioja,2.964740372987079,0-10 Mbps
2014,1,Mendoza,3.502680556555116,0-10 Mbps
2014,1,Misiones,3.403126267679909,0-10 Mbps
2014,1,Neuquén,3.549301650825412,0-10 Mbps
2014,1,Río Negro,3.353796318189495,0-10 Mbps
2014,1,Salta,3.300901979254521,0-10 Mbps
2014,1,San Juan,3.469138459749171,0-10 Mbps
2014,1,San Luis,3.502815322131082,0-10 Mbps
2014,1,Santa Cruz,3.315991479820628,0-10 Mbps
2014,1,Santa Fe,3.147406845278679,0-10 Mbps
2014,1,Santiago Del Estero,2.949471721499205,0-10 Mbps
2014,1,Tierra Del Fuego,3.446887937323564,0-10 Mbps
2014,1,Tucumán,3.208341823551126,0-10 Mbps
